example_id,context_id,domain,context,question,claim,claim_gold_label,existing_atom_count,gold_atom_count,gold_atom_1,gold_atom_1_nli,gold_atom_2,gold_atom_2_nli,gold_atom_3,gold_atom_3_nli,gold_atom_4,gold_atom_4_nli,gold_atom_5,gold_atom_5_nli,decomposition_complete,faithful_to_claim,annotation_status,annotator_id,review_notes
finance_stress_0003,devv2_repair_fin_001,finance,"Sermaye piyasasında bağımsız denetim, yıllık finansal tabloların belirlenen raporlama ölçütlerine uygunluğu ve doğruluğu hakkında makul güvence sağlamak amacıyla yeterli ve uygun denetim kanıtı toplanmasına dayanır. Denetçi defter, kayıt ve belgeleri inceler, gerekli denetim tekniklerini uygular ve sonucunu rapora bağlar. Ara dönem finansal tablolar için yapılan sınırlı bağımsız denetimde bilgi toplama ve analitik inceleme teknikleri öne çıkar. Halka arz başvurusu ile birleşme, bölünme, devir ve tasfiye gibi durumlarda özel bağımsız denetim yapılabilir. Denetim raporu, finansal tabloların ilgili raporlama çerçevesine uygun hazırlanıp hazırlanmadığına ilişkin görüş içerir. Yeterli kanıt elde edilememesi veya önemli yanlışlık bulunması olumlu görüş dışında bir görüşe yol açabilir. Görüş türleri olumlu, sınırlı olumlu, olumsuz ve görüş vermekten kaçınmadır. Denetim raporları finansal tablolarla birlikte kamuya açıklanır.",Sermaye piyasasında bağımsız denetim türleri ve denetçi görüşü nasıl açıklanır?,Bağımsız denetimde kanıt toplanmadan görüş oluşturulur. Halka arz başvurularında özel denetim yapılmaz.,contradicted,2,,,,,,,,,,,,,,pending,,
finance_stress_0038,devv2_ma_fin_002,finance,"Kaydi sistem, sermaye piyasası araçlarının ve bu araçlara bağlı hakların fiziki senetler yerine elektronik kayıtlar üzerinden izlenmesini sağlar. Türkiye’de bu yapının merkezinde Merkezi Kayıt Kuruluşu bulunur. MKK, kaydileştirilen sermaye piyasası araçlarını ve bunlara ilişkin hakları yatırımcı hesapları temelinde elektronik ortamda takip etmekle görevlidir. Kaydileştirme süreci yatırım fonlarıyla başlamış, daha sonra Borsada işlem gören payların topluca kaydi sisteme alınmasıyla genişlemiştir. Yeni sermaye piyasası aracı ihraçlarının kaydi olarak yapılması, hak sahipliği bilgilerinin merkezi ve güncellenebilir kayıtlarla izlenmesine imkân verir. Kaydi sistem, fiziki belgenin el değiştirmesine dayalı klasik yapıdan farklıdır; mülkiyet ve hak hareketleri elektronik kayıtlar üzerinden yürütülür. Bununla birlikte MKK’nın görevi yatırımcının yerine yatırım kararı vermek veya ihraççıların ticari başarısını garanti etmek değildir. Elektronik kayıt yaklaşımı, hak hareketlerinin izlenebilirliğini ve hesap bazında güncellenmesini kolaylaştıran bir piyasa altyapısı oluşturur.",Kaydi sistemde sermaye piyasası araçları ve yatırımcı hakları nasıl izlenir? MKK bu süreçte ne yapar?,Kaydi sistem basılı senetlerin merkezi depoda tutulmasına dayanır. Yeni ihraçlarda elektronik hesap açılmadan fiziki belge düzenlenir.,contradicted,2,,,,,,,,,,,,,,pending,,
finance_stress_0039,devfs_b2_fin_005,finance,"Kredi kartlarında yıllık üyelik ücreti, sözleşmede bu ücretin alınabileceğinin belirtilmesi koşuluyla tahsil edilebilir. Bununla birlikte bankalar, yıllık üyelik ücreti bulunmayan bir kredi kartı türünü müşterilerine sunmak zorundadır. Kart hiç kullanılmamışsa yıllık üyelik ücreti alınamaz. Kesintisiz olarak en az 180 gün hareket görmeyen kredi kartı hareketsiz kart kabul edilir ve hareketsiz kaldığı sürece bu karta yıllık üyelik ücreti yansıtılamaz. Sanal kredi kartlarından ve banka kartlarından da yıllık üyelik ücreti alınmaz. Bir takvim yılında kayıp veya çalıntı gibi nedenlerle gerçekleştirilen ilk iki kart yenilemesi ücretsizdir; ikiden fazla yenileme talebinde ücret alınabilir. Ek kartın üyelik ücreti ise asıl kart ücretinin yarısını aşamaz. Bu kurallar, kart türü ve kullanım durumuna göre ücret alınabilecek ve alınamayacak hâlleri birbirinden ayırır.","Kredi kartı üyelik ücreti hangi kartlardan alınabilir, hangi durumlarda alınamaz?",Bütün kredi kartları zorunlu yıllık ücrete tabidir. Sanal kredi kartlarından da üyelik ücreti alınır.,contradicted,2,,,,,,,,,,,,,,pending,,
finance_stress_0046,devfs_b1_fin_002,finance,"Tasarruf Mevduatı Sigorta Fonu, bankacılık sisteminde tasarruf sahiplerinin hak ve menfaatlerini korumaya ve finansal istikrara katkı sağlamaya yönelik görevler yürütür. Fonun iki ana faaliyet alanı mevduat sigortacılığı ve banka çözümlemedir. Mevduat sigortacılığı kapsamında sigorta politikalarının ve düzenlemelerinin uygulanması, bankalara ilişkin risklerin izlenmesi, primlerin tahsili ve sigorta kapsamındaki risk gerçekleştiğinde hak sahiplerine ödeme yapılması yer alır. Banka çözümleme faaliyetleri ise yönetim ve denetimi Fona devredilen ya da faaliyet izni kaldırılan bankaların yeniden yapılandırılması, devri, birleştirilmesi, satışı veya tasfiyesi gibi işlemleri kapsayabilir. Fon ayrıca alacaklarını takip eder, varlık ve kaynaklarını yönetir. TMSF kamu tüzel kişiliğine ve idari-mali özerkliğe sahiptir; görevlerini yerine getirirken karar organının bağımsızlığı esastır. Fonun görevi normal koşullarda ticari banka gibi kredi vermek değildir.",TMSF’nin mevduat sigortacılığı ve banka çözümleme alanlarındaki temel görevleri nelerdir?,Mevduat ve katılım fonlarının sigortalanması bankaların kendi sorumluluğundadır. TMSF’ye devredilen bankalar normal yönetimleri altında faaliyetlerini sürdürür.,contradicted,2,,,,,,,,,,,,,,pending,,
finance_stress_0047,devfs_b6_fin_004,finance,"Türkiye Bankalar Birliği Bireysel Müşteri Hakem Heyeti, TBB üyesi bankalar ile gerçek kişi müşteriler arasındaki bireysel bankacılık uyuşmazlıklarını inceleyen ücretsiz bir başvuru yoludur. Ticari veya zirai faaliyetlere ilişkin başvurular ile tüzel kişi başvuruları kapsam dışında kalır. Hakem Heyetine gitmeden önce müşterinin bankaya yazılı başvuruda bulunması ve banka yanıtını ya da başvuru teyit belgesini edinmesi gerekir. Başvuru formu doldurulmalı, uyuşmazlık ve talep açık biçimde açıklanmalı, ilgili belgeler eklenmelidir. Yargıya, Sigorta Tahkim Komisyonuna veya Tüketici Hakem Heyetine taşınmış aynı uyuşmazlık Heyete sunulamaz. Başvuru, e-Devlet üzerinden veya kabul edilen diğer yollarla yapılabilir. Heyet bir mahkeme değildir ve yargı yoluna başvurma hakkını bütünüyle ortadan kaldırmaz. Başvurunun somut talep ve ilgili belgelerle sunulması incelemenin sağlıklı yürütülmesine yardımcı olur.",Bireysel Müşteri Hakem Heyetine kimler başvurabilir ve başvurudan önce bankaya karşı hangi işlem yapılmalıdır?,Heyete tüzel kişiler ve ticari kredi müşterileri de başvurabilir. Gerçek kişilerin başvurudan önce bankaya yazılı başvuru yapması gerekmez.,contradicted,2,,,,,,,,,,,,,,pending,,
finance_stress_0059,devfs_b3_fin_003,finance,"TAM Takas Hesaplaşma Sistemi, katılımcılar arasında ödeme kartlarıyla gerçekleştirilen işlemlere ilişkin takas ve hesaplaşmanın yürütülmesini sağlayan bir ödeme sistemidir. Sistem, Bileşim Finansal Teknolojiler ve Ödeme Sistemleri A.Ş. tarafından işletilir. Şirketin ödeme sistemi işleticisi olarak faaliyette bulunmasına ilişkin izin kararı 2020 yılında Resmî Gazete’de yayımlanmıştır. Takas sürecinde katılımcıların kartlı işlemlerden doğan karşılıklı alacak ve borçları belirlenir; hesaplaşma aşamasında ise ortaya çıkan net yükümlülüklerin yerine getirilmesi sağlanır. Sistem, her kart işleminde tüketiciye kredi veren bir banka değildir ve kart çıkaran kuruluşların yerine geçmez. İşleticinin görevi, katılımcılar arasındaki işlem bilgilerinin kurallara uygun biçimde işlenmesi ve takas-hesaplaşma sürecinin güvenilir şekilde yürütülmesidir. Sistemin kuralları, katılımcıların sorumluluklarını ve takas sonuçlarının hangi esaslarla hesaplaşmaya aktarılacağını belirleyen ortak bir çerçeve sağlar.",TAM Takas Hesaplaşma Sistemi ne işe yarar ve sistemi hangi kuruluş işletir?,TAM bireysel kredi kullandıran bir bankadır. Kartlı işlemlerde takas hizmeti başka bir yapı tarafından yürütülür.,contradicted,2,,,,,,,,,,,,,,pending,,
finance_stress_0063,devfs_b1_fin_003,finance,"Varantlar ve yatırım kuruluşu sertifikaları, değerleri bir dayanak varlığa, göstergeye veya ortaklık payına bağlı olarak değişebilen sermaye piyasası araçlarıdır. Bu araçlar sahibine doğrudan dayanak varlığın mülkiyetini vermek zorunda değildir; ürünün koşullarına bağlı bir getiri veya kullanım hakkı sağlar. İhraç süreçleri Sermaye Piyasası Kurulu düzenlemelerine tabidir. Yatırım kuruluşu varantları ve sertifikaları, gerekli uzun vadeli derecelendirme koşulunu sağlayan banka veya aracı kurumlar tarafından ihraç edilebilir. Ortaklık varantları ise payları borsada işlem gören ya da görecek anonim ortaklıklar tarafından çıkarılabilir. İhraççının niteliği, dayanak varlık, vade, kullanım esasları ve riskler izahname veya ihraç belgesinde açıklanır. Yatırımcı açısından ürünün olası getirisi kadar, vade sonunda değersiz kalma ve ihraççı riski gibi özelliklerin de değerlendirilmesi gerekir.",Varant ve yatırım kuruluşu sertifikalarının temel niteliği nedir?,Varantın getirisi ihraççının sabit faiz taahhüdüne dayanır. Dayanak varlığın değerindeki değişimden etkilenmez.,contradicted,1,,,,,,,,,,,,,,pending,,
finance_stress_0070,devv2_ma_fin_005,finance,"Tek fiyat işlem yönteminde bir sermaye piyasası aracı için sisteme iletilen emirler, Borsa tarafından belirlenen zaman dilimi boyunca toplanır. Emir toplama aşamasında işlemler hemen gerçekleştirilmez; emirler ilgili öncelik kurallarına göre sıralanır. Süre sonunda, en yüksek işlem miktarının gerçekleşmesini sağlayan ve öncelik kurallarını gözeten tek bir eşleşme fiyatı belirlenir. Bu yöntem gün içinde bir veya birden fazla kez uygulanabilir. Sürekli işlem yönteminde ise uygun karşı emir bulunduğunda işlemler farklı fiyat seviyelerinden seans boyunca gerçekleşebilir. Pay bazında devre kesici devreye girdiğinde, sürekli işlem geçici olarak durdurularak emir toplama ve tek fiyatla eşleştirme aşamasına geçilebilir. Tek fiyat süreci tamamlandıktan sonra ilgili pay yeniden sürekli işleme alınabilir. Yöntem, bütün yatırımcı emirlerinin mutlaka gerçekleşeceği anlamına gelmez. Eşleşme fiyatı belirlenirken yalnız fiyat değil, emirlerin öncelik sırası ve gerçekleştirilebilecek toplam miktar da dikkate alınır.",Tek fiyat yöntemi ile sürekli işlem yöntemi arasındaki fark nedir? Devre kesici sırasında hangi işlem yöntemi uygulanabilir?,Tek fiyat yönteminde emirler geliş anında farklı fiyatlardan eşleşir. Devre kesici sırasında sürekli işlem kesintisiz sürer.,contradicted,2,,,,,,,,,,,,,,pending,,
finance_stress_0091,devv2_fin_services,finance,"Sermaye piyasasında yatırım hizmet ve faaliyetleri ile yatırım kuruluşlarının kuruluş ve çalışma esasları Sermaye Piyasası Kurulu düzenlemelerine tabidir. Aracı kurumlar ve bankalar, yalnızca sahip oldukları yetki belgeleri kapsamındaki hizmetleri sunabilir. Rehber; emir iletimi, işlem aracılığı, portföy aracılığı, bireysel portföy yöneticiliği, yatırım danışmanlığı ve saklama gibi faaliyetlerin uygulanmasına ilişkin esasları açıklar. Her yatırım kuruluşu bütün faaliyetleri otomatik olarak yürütemez; sunulacak hizmetin kuruluşun izin kapsamına girmesi gerekir. Yan hizmetler de ana yatırım hizmetlerinden farklı koşullara bağlanabilir. Bu düzenleme, yatırımcıya sunulan hizmetlerin yetkili kuruluşlarca, belirlenmiş organizasyon ve iç kontrol şartları altında yürütülmesini amaçlar.",Yatırım kuruluşları hangi hizmetleri sunabilir ve bu hizmetler hangi izinlere bağlıdır?,Yatırım kuruluşu yetki belgesi olmadan bütün yatırım hizmetlerini sunabilir. İç kontrol ve risk yönetimi düzeni isteğe bağlıdır.,contradicted,,,,,,,,,,,,,,,pending,,
finance_stress_0099,devv2_fin_gsyf,finance,"Girişim sermayesi yatırım fonu, nitelikli yatırımcılardan katılma payı karşılığında toplanan paralarla oluşturulan ve portföy yönetim şirketleri tarafından kurulan bir malvarlığıdır. Fonun tüzel kişiliği bulunmaz ve pay sahipleri hesabına inançlı mülkiyet esasına göre yönetilir. Portföyde girişim sermayesi yatırımlarının yanında mevzuatın izin verdiği paylar, borçlanma araçları, vadeli mevduat, katılma hesabı, yatırım fonu payları, repo ve ters repo işlemleri ile bazı diğer sermaye piyasası araçları bulunabilir. Fon, her yatırımcıya açık bir mevduat ürünü değildir; nitelikli yatırımcılara yönelik, belirli süre için kurulan ve risk sermayesi yatırımlarına odaklanan kolektif yatırım yapısıdır.","Girişim sermayesi yatırım fonu nasıl bir yapıdır, kimlere yöneliktir ve portföyünde hangi varlıklar bulunabilir?",Fon mevduat kabul eden bir banka olarak çalışır. Portföyünde girişim şirketi veya sermaye piyasası aracı bulundurmaz.,contradicted,,,,,,,,,,,,,,,pending,,
