model,run_id,rule,rule_title,subset,n_examples,accuracy,macro_f1,weighted_f1,mcc,n_changed_from_flat
mDeBERTa-v3-base 2mil7,K2-ATOM-ASSISTED-ZS-PILOT-v1.1__mdeberta_base_2mil7,flat,Flat,all_200,200,0.795,0.7934931915910176,0.7934931915910178,0.7301799828778113,0
mDeBERTa-v3-base 2mil7,K2-ATOM-ASSISTED-ZS-PILOT-v1.1__mdeberta_base_2mil7,flat,Flat,policy_clean,198,0.803030303030303,0.8012520691868518,0.8017136501326225,0.739965230854761,0
mDeBERTa-v3-base 2mil7,K2-ATOM-ASSISTED-ZS-PILOT-v1.1__mdeberta_base_2mil7,contradiction_priority,Contradiction-priority,all_200,200,0.665,0.6395141543239369,0.639514154323937,0.5830054902128406,48
mDeBERTa-v3-base 2mil7,K2-ATOM-ASSISTED-ZS-PILOT-v1.1__mdeberta_base_2mil7,contradiction_priority,Contradiction-priority,policy_clean,198,0.6616161616161617,0.6366780198701554,0.6370187960661106,0.579971081520013,48
mDeBERTa-v3-base 2mil7,K2-ATOM-ASSISTED-ZS-PILOT-v1.1__mdeberta_base_2mil7,sentence_grouped,Sentence-grouped,all_200,200,0.8,0.8004374386342888,0.8004374386342888,0.7350258413963222,15
mDeBERTa-v3-base 2mil7,K2-ATOM-ASSISTED-ZS-PILOT-v1.1__mdeberta_base_2mil7,sentence_grouped,Sentence-grouped,policy_clean,198,0.803030303030303,0.8032504180602007,0.8035940508766596,0.7395027142794898,15
XLM-R-large XNLI,K2-ATOM-ASSISTED-ZS-PILOT-v1.1__xlmr_large_xnli,flat,Flat,all_200,200,0.705,0.7047570134658656,0.7047570134658656,0.6113719583085269,0
XLM-R-large XNLI,K2-ATOM-ASSISTED-ZS-PILOT-v1.1__xlmr_large_xnli,flat,Flat,policy_clean,198,0.7121212121212122,0.7121748413883245,0.7118205191068657,0.6206140466954343,0
XLM-R-large XNLI,K2-ATOM-ASSISTED-ZS-PILOT-v1.1__xlmr_large_xnli,contradiction_priority,Contradiction-priority,all_200,200,0.645,0.6259133904209913,0.6259133904209913,0.5393653896384447,26
XLM-R-large XNLI,K2-ATOM-ASSISTED-ZS-PILOT-v1.1__xlmr_large_xnli,contradiction_priority,Contradiction-priority,policy_clean,198,0.6414141414141414,0.6232097002492704,0.6226536278319376,0.5352838228945281,26
XLM-R-large XNLI,K2-ATOM-ASSISTED-ZS-PILOT-v1.1__xlmr_large_xnli,sentence_grouped,Sentence-grouped,all_200,200,0.73,0.729176397751583,0.729176397751583,0.6448110434240363,7
XLM-R-large XNLI,K2-ATOM-ASSISTED-ZS-PILOT-v1.1__xlmr_large_xnli,sentence_grouped,Sentence-grouped,policy_clean,198,0.7323232323232324,0.7320947655317274,0.7313672004225508,0.6481755631306491,7
