example_id,context_id,domain,gold_label,n_atoms,atomization_status,comparison_bucket,claim,K2-ATOM-ASSISTED-ZS-PILOT-v1.1__mdeberta_base_2mil7__pred_label,K2-ATOM-ASSISTED-ZS-PILOT-v1.1__mdeberta_base_2mil7__is_correct,K2-ATOM-ASSISTED-ZS-PILOT-v1.1__xlmr_large_xnli__pred_label,K2-ATOM-ASSISTED-ZS-PILOT-v1.1__xlmr_large_xnli__is_correct
finance_test_0036,finance_context_023,finance,supported,3,assistant_draft_high,all_correct,"Ödemeler dengesi bilançosunda cari işlemler hesabının bileşenleri arasında dış ticaret, hizmetler hesabı ve transferler bulunur.",supported,True,supported,True
finance_test_0041,finance_context_013,finance,contradicted,2,assistant_draft_high,all_correct,Sübvansiyonlar tüketicileri korumak veya ihracatı özendirmek için kullanılmaz.,contradicted,True,contradicted,True
finance_test_0045,finance_context_025,finance,unverifiable,1,assistant_draft_high,all_wrong,TÜFE'de karşılaştırılacak dönemlerin seçiminde hane gelirleri esas alınır.,contradicted,False,supported,False
finance_test_0046,finance_context_040,finance,unverifiable,1,assistant_draft_high,only_XLM-R-large XNLI_correct,Enflasyon nedeniyle hükûmetler otomatik olarak görevden alınır.,contradicted,False,unverifiable,True
finance_test_0055,finance_context_024,finance,supported,2,assistant_draft_high,all_correct,Merkez bankalarının temel amacı para biriminin ve para arzının istikrarının sürdürülmesidir.,supported,True,supported,True
finance_test_0057,finance_context_032,finance,supported,1,assistant_draft_high,all_correct,Borç ilişkisi borçlu ve alacaklı olmak üzere iki taraf arasında oluşur.,supported,True,supported,True
finance_test_0064,finance_context_030,finance,contradicted,1,assistant_draft_high,all_correct,Keynes kriz dönemlerinde denk bütçe uygulanmasını önermiştir.,contradicted,True,contradicted,True
finance_test_0065,finance_context_038,finance,partially_supported,2,assistant_draft_high,only_mDeBERTa-v3-base 2mil7_correct,Talep ve maliyet enflasyonu farklı nedenlidir. Maliyet enflasyonu enerji fiyatları düştüğünde oluşur.,partially_supported,True,unverifiable,False
finance_test_0069,finance_context_024,finance,partially_supported,2,assistant_draft_high,all_correct,Merkez bankası para arzı istikrarını gözetir. Bütün kredi kararlarını onaylar.,partially_supported,True,partially_supported,True
finance_test_0084,finance_context_002,finance,unverifiable,1,assistant_draft_high,all_correct,ELÜS yatırımcılarının ürün fiyatı düşüşünden doğan zararları kamu tarafından otomatik olarak karşılanır.,unverifiable,True,unverifiable,True
